role;starting_salary;starting_salary_hr_yr;year_starting_salary;ending_salary 1;ending_salary_hr_yr;Hourly(H)_Permanent(P)_Contingent(C);year_ending_salary;years_experience;gender;ethnicity;degrees_required
Director;41000;yr;2014;50000;yr;P;2019;5;female;white;N
Registrar;34700;yr;2017;40000;yr;P;2019;1;female;white;BA required MA preferred
Conservator;55000;yr;2018;55000;yr;P;2019;5;male;white;MA
Registrar;38800;yr;2017;38800;yr;P;2019;16;female;white;MA
Manager;30000;yr;2018;30000;yr;P;2019;7;female;N;N
Coordinator;28900;yr;2013;38000;yr;P;2019;7;n/a;N;BA
Manager;12,5;hr;2017;15;hr;H;2019;3;female;N;N
Manager;65000;yr;2017;66500;yr;P;2019;6;n/a;N;N
Designer;50000;yr;2016;53000;yr;P;2018;10;female;asian;N
Coordinator;31000;yr;2012;36000;yr;P;2019;12;n/a;N;BA
Manager;45000;yr;2015;54900;yr;P;2019;12;female;mixed;BA required MA preferred
Coordinator;23,4;hr;2016;23,79;hr;H;2018;6;female;white;MA
Coordinator;36000;yr;2016;42000;yr;H;2019;n/a;female;white;BA
Manager;58000;yr;2008;100000;yr;P;2019;14;female;N;N
Archivist;45000;yr;2013;55000;yr;P;2019;8;n/a;N;MLIS
Manager;12,5;hr;2015;40000;yr;P;2019;5;female;white;BA
Archivist;20;hr;2017;22;hr;C;2018;;female;white;N
Manager;52000;yr;2016;58000;yr;P;2018;;female;N;N
Coordinator;40000;yr;2017;40000;yr;P;2019;8;female;white;BA
Director;546000;yr;2019;;N;P;2019;6;n/a;N;N
Research;45000;yr;2016;50000;yr;P;2019;3;male;white;BA
Communications;38000;yr;2016;40000;yr;H;2019;3;male;white;BA
Manager;30000;yr;2018;30000;yr;P;2019;6;female;white;None required MA preferred
Manager;39000;yr;2016;41000;yr;P;2019;3;female;N;MA
Archivist;32000;yr;2016;36000;yr;C;2019;4;n/a;N;MLIS
Assistant;20;hr;2018;20;hr;H,C;2019;5;other;white;MA
Manager;45000;yr;2005;69808;yr;P;2019;26;female;mixed;MA
Conservator;12000;yr;1979;68000;yr;P;2009;40;female;white;BA
Conservator;34000;yr;2019;34000;yr;H,P;2019;2;female;white;BA
Manager;35000;yr;2016;45000;yr;P;2019;4;n/a;N;N
Assistant Director;;;N;50000;yr;P;2019;9;female;latino;BA
Assistant;70000;yr;2019;70000;yr;P;2019;9;female;N;N
Director;125000;yr;2016;166000;yr;P;;;n/a;N;N
Sales;15;hr;2017;17;hr;P;2019;4;female;white;BA
Art Handler;44200;yr;2018;46410;yr;P;2019;10;male;white;No degree
Relations;15,66;hr;2017;16;hr;H;2019;4;other;white;N
Curator;28000;yr;2012;29500;yr;P;2019;2;female;white;MA
Conservator;40000;yr;2017;40000;yr;C;2019;2;n/a;N;MA
Coordinator;18,5;hr;2018;39500;yr;H,P;2019;;n/a;N;BA
Curator;105000;yr;2017;113000;yr;P;2019;20;female;N;MA
Manager;32000;yr;2015;33190;yr;P;2019;3;male;white;MA
Manager;42000;yr;2017;42000;yr;P;2019;3;male;latino;MA
Assistant Curator;42000;yr;2008;64000;yr;C;2019;25;female;white;MA
Visitor Experience;11;hr;2018;11,13;hr;H,P;2019;5;female;poc;BA required MA preferred
Technical;50000;yr;N;50000;yr;P;2019;8;n/a;N;N
Communications;22000;yr;2011;26000;yr;P;2018;12;n/a;white;N
Director;100;yr;N;;N;n/a;2019;;male;white;N
Assistant;;;N;43291,19;yr;P;2019;6;female;white;MA
Visitor Experience;33000;yr;2016;35000;yr;C;2019;8;female;white;BA
Manager;45000;yr;N;45000;yr;P;2019;8;n/a;N;N
Director;30000;yr;2017;30000;yr;C;2019;10;female;white;MA
Academic;10;hr;2014;12;hr;C;2019;10;female;white;MA
Designer;42000;yr;2018;49950;yr;P;n/a;2;male;latino;N
Assistant Curator;40000;yr;2017;43264;yr;P;2019;4;female;white;N
Assistant;12,5;hr;N;12,5;hr;H;2009;2;female;white;N
Coordinator;31000;yr;2017;36000;yr;P;2019;12;female;white;MA
Gallery Assistant;32000;yr;2019;32000;yr;P;2019;2;female;white;MA
other;44500;yr;2018;45600;yr;H,C;2019;20;male;white;None required MA preferred
Archivist;55000;yr;2013;64000;yr;P;2019;6;n/a;white;MA required PhD preferred
Assistant Curator;71500;yr;2019;2019;yr;P;2019;6;n/a;N;MA required PhD preferred
Assistant Curator;67500;yr;2018;67500;yr;P;2019;15;female;white;MA
Librarian;;;N;60000;yr;P;2019;;n/a;N;MLIS
Assistant;38000;yr;2016;38000;yr;H,C;2017;4;female;white;MA
Registrar;25;hr;2017;25;hr;H,C;2018;5;female;white;MA
Assistant Curator;43000;yr;N;44000;yr;H;2019;2;female;white;MA
Technical;37962;yr;2014;56325;yr;P;2019;7;female;white;BA
Curator;18000;yr;N;18000;yr;C;2019;30;n/a;N;PhD
Assistant;40000;yr;N;50000;yr;P;2019;;female;latino;N
Assistant Curator;65000;yr;2017;68000;yr;P;2019;10;female;white;MA required PhD preferred
Director;108000;yr;N;111000;yr;P;2019;20;female;white;MA
Assistant Director;110000;yr;2018;110000;yr;P;2019;7;female;white;BA required MA preferred
Manager;70000;yr;2016;74000;yr;H;2019;10;female;white;BA required MA preferred
Education;18;hr;2011;21;hr;n/a;2019;11;female;white;BA
Coordinator;30000;yr;2012;32000;yr;n/a;2015;2;n/a;N;BA
Assistant Curator;41000;yr;2014;42000;yr;n/a;2019;10;female;white;MA
Educator;12;hr;2006;23,15;hr;H;2019;12;female;white;BA
Librarian;37000;yr;2017;37800;yr;P;2019;;female;white;N
Assistant Director;18;hr;2017;21,47;hr;H;2019;3;other;N;N
Assistant Director;18;hr;2017;21,47;hr;H;2019;3;other;N;N
Registrar;55000;yr;2018;59000;yr;C;2019;3;female;latino;MA
Coordinator;43000;yr;N;50000;yr;H,P;2019;;female;white;N
Editor;30000;yr;2007;62000;yr;P;2019;12;female;white;MA required PhD preferred
Assistant;34000;yr;2018;35500;yr;P;2019;1;female;white;BA
Coordinator;42000;yr;2016;50000;yr;P;2019;4;female;white;BA
Gallery Assistant;35500;yr;2019;35500;yr;H;2019;;n/a;N;BA
Curator;85000;yr;2018;88400;yr;P;2019;15;male;white;MA
Registrar;40000;yr;2016;40000;yr;P;2019;8;n/a;N;BA required MA preferred
Writer;60000;yr;2018;60000;yr;P;2019;35;female;white;BA
Curator;58268;yr;2017;61666;yr;P;2019;5;female;white;MA
Designer;42500;yr;N;45000;yr;P;2019;2;n/a;N;N
Assistant;32000;yr;2017;32000;yr;H;;5;female;poc;BA
Assistant;40000;yr;2017;59500;yr;P;;;female;white;N
Curator;50000;yr;N;52000;yr;C;2019;10;female;poc;PhD
Curator;;;N;109000;yr;P;2019;17;female;white;MA
Visitor Experience;15;yr;N;15;hr;H;2019;1;n/a;N;BA
Visitor Experience;15;hr;2018;15;hr;H;2019;1;n/a;N;BA
Visitor Experience;29120;yr;2015;34008;yr;H Full Time;2019;13;female;white;BA
Conservator;38000;yr;2003;92000;yr;P;2019;18;female;asian;MA
Designer;45000;yr;2016;47988;yr;P;2019;3;female;N;BA
Admin;33000;yr;2018;33825;yr;P;2019;3;n/a;N;N
Coordinator;18;hr;N;48000;yr;P;2019;2;female;poc;BA
Assistant Curator;20;hr;N;20;hr;H,C;2019;5;female;latino;MA
Editor;40000;yr;N;43000;yr;P;2009;1;female;white;BA
Communications;55000;yr;2018;55000;yr;H;2019;4;female;asian;BA
Communications;50000;yr;2015;65000;yr;P;2017;8;female;N;N
Technical;46000;yr;2008;89000;yr;P;2019;11;male;N;BA
Curator;54000;yr;2002;105000;yr;P;2019;25;male;white;PhD
Assistant;47600;yr;2018;49750;yr;H;2019;9;female;white;BA
Assistant;22,27;hr;2018;22,49;hr;H Full Time;2019;1;female;white;BA
Writer;40000;yr;N;;N;H,P;;;female;white;N
Technical;13000;yr;2014;36000;yr;P;2019;5;female;white;BA
Director;;;N;78000;yr;P;;20;n/a;N;N
Manager;43000;yr;N;43000;yr;P;2019;;female;N;N
Curator;45000;yr;N;49500;yr;H;2019;6;female;poc;BA required MA preferred
Assistant Curator;55000;yr;2017;;N;n/a;2019;;n/a;N;N
Assistant Curator;45000;yr;2016;55000;yr;P;2019;7;female;N;MA required PhD preferred
Assistant Director;55000;yr;2016;57500;yr;P;2018;5;n/a;N;N
Manager;32500;yr;N;38000;yr;P;2019;7;male;white;MA
Technical;52000;yr;2017;53300;yr;P;2019;2;female;N;N
Director;85000;yr;2016;92400;yr;P;2019;10;female;white;BA required MA preferred
Designer;41240;yr;2017;45240;yr;P;2019;5;female;poc;N
Conservator;44000;yr;2014;48000;yr;H;2019;5;n/a;N;N
Communications;40000;yr;2019;40000;yr;P;2019;3;female;white;BA
Registrar;20;hr;N;20;hr;H;2019;3;male;white;N
Sales;31990;yr;N;32635;yr;H,P;2019;;female;white;N
Sales;42000;yr;2016;43000;yr;H,P;20119;5;female;N;BA
Assistant Curator;45000;yr;2016;48500;yr;P;2019;7;female;white;BA required MA preferred
Assistant Registrar;39000;yr;2016;40800;yr;H,P;2019;13;female;white;MA
Sales;43000;yr;N;52000;yr;P;2019;7;n/a;N;N
Coordinator;31800;yr;2017;32800;yr;H;2019;10;female;latino;BA required MA preferred
Manager;50000;yr;2019;;N;P;2019;4;female;N;N
Registrar;14;hr;N;14,5;hr;C;2019;3;female;white;N
Archivist;35000;yr;N;38000;yr;P;2019;8;female;N;MLIS
Designer;45000;yr;2008;60000;yr;P;2019;19;n/a;white;BA
Manager;;;N;73000;yr;P;2019;;n/a;N;N
Assistant;15;hr;2015;18,72;hr;H;2019;4;female;white;BA
Manager;54000;yr;N;59000;yr;n/a;2019;;n/a;N;N
Manager;54000;yr;N;59000;yr;n/a;2019;;n/a;N;N
Technical;47000;yr;2018;48700;yr;P;2019;5;n/a;white;N
Archivist;31000;yr;2010;62000;yr;P;2019;10;male;white;MA
Conservator;58000;yr;2015;84450;yr;P;2019;14;female;white;N
Manager;49000;yr;2018;53000;yr;P;2019;11;female;N;MA
Manager;1000;yr;2015;114000;yr;P;2019;4;male;white;BA
Communications;50000;yr;2017;58000;yr;P;2019;5;female;white;MA
Coordinator;;;N;25,27;hr;H,P;2019;7;female;white;BA
Designer;51000;yr;2012;64000;yr;P;2018;9;female;white;MA
Assistant;44000;yr;2019;44000;yr;H;2019;3;n/a;N;BA required MA preferred
Assistant Curator;45000;yr;2012;65000;yr;P;2017;;female;white;N
Archivist;0;yr;2016;0;yr;n/a;2019;5;female;white;MA
other;40000;yr;2017;42000;yr;H;2019;10;female;white;None required BA preferred
Assistant Curator;;;N;;N;H;2019;6;female;poc;MA
Relations;;;N;11000;yr;P;2019;10;female;white;BA
Research;47500;yr;2019;N;yr;P;2019;;female;white;MA required PhD preferred
Assistant Curator;70000;yr;N;90000;yr;n/a;2019;18;n/a;N;N
Curator;;;N;88000;yr;P;2019;;female;white;N
Librarian;;;N;94000;yr;P;2019;20;n/a;N;MLIS
Sales;50000;yr;N;60000;yr;P;2019;14;female;white;MA
Designer;35000;yr;2015;37000;yr;P;2019;7;female;white;BA
Assistant;47000;yr;2018;47000;yr;P;2019;0;female;white;BA
Research;20;hr;2015;65000;yr;P;2019;4;female;white;BA
Intern;11;hr;2018;11;hr;H,C;2019;2;female;white;MA
Manager;;;N;57600;yr;P;2019;5;male;white;BA
Assistant Director;48000;yr;2016;51000;yr;P;2019;10;female;white;BA
Visitor Experience;15;hr;2017;15,3;hr;H;2019;5;n/a;N;BA
Manager;15;hr;2017;15;hr;H;2019;3;female;white;BA
Coordinator;15;hr;2017;16,75;hr;H;2019;3;female;white;BA
Assistant;15;hr;2018;15,5;hr;H;2019;2;female;white;No degree
Manager;9;hr;2014;14;hr;H,P;2019;6;female;white;BA
Manager;15;hr;2017;18;hr;H,P;2019;15;female;white;MA
Assistant;20;hr;2015;23,8;hr;H;2019;5;n/a;N;BA
Manager;50000;yr;2018;50000;yr;P;2019;5;female;white;MA
Manager;39000;yr;2010;48000;yr;P;2019;11;female;asian;BA
Coordinator;20;hr;2018;20;hr;H;2019;10;female;white;BA required MA preferred
Consultancy;18;hr;2018;20;hr;H;2019;n/a;female;white;BA required MA preferred
Director;20;hr;2010;27;hr;H,P;2019;12;male;white;MA
Assistant Director;;;N;45000;yr;P;2019;4;male;white;N
Assistant Curator;55000;yr;2019;55000;yr;P;2019;;female;white;N
Registrar;50000;yr;2003;60000;yr;n/a;2006;10;female;N;N
Art Handler;20;hr;2014;23;hr;H;2019;6;female;N;N
Gallery Assistant;15;hr;N;15;hr;H Full Time;2017;5;male;white;BA
Assistant Curator;16,5;hr;2019;16,5;hr;H;2019;5;female;white;MA
Librarian;60000;yr;2019;60000;yr;P;2019;6;male;asian;MA
Manager;13,22;hr;2018;13,22;hr;C;;1;female;latino;BA
Registrar;40000;yr;N;47000;yr;H;2019;4;n/a;N;N
Gallery Assistant;34000;yr;2019;34000;yr;P;2019;1;female;white;BA
Director;77500;yr;2016;82500;yr;P Full Time;2019;25;female;N;N
Manager;45000;yr;2018;50000;yr;P;2019;6;n/a;N;N
Assistant Registrar;11;hr;2007;38700;yr;H;2019;19;male;mixed;BA
other;68000;yr;2012;115000;yr;P;2019;12;n/a;N;N
other;;;N;70000;yr;P;2019;8;female;white;MA
other;60000;yr;2015;120000;yr;P;;8;n/a;N;MA
other;46000;yr;2019;;N;P;2019;;male;white;N
Assistant Registrar;45000;yr;N;52080;yr;P;2019;4;male;latino;None required MA preferred
Assistant Curator;37000;yr;2016;50000;yr;P;2019;7;female;white;MA
Assistant;24000;yr;N;34000;yr;n/a;2018;;female;white;N
Director;50000;yr;2017;38000;yr;P;2019;8;male;N;MA
Assistant Curator;28000;yr;2015;38000;yr;P;2019;4;female;N;MA
Assistant Curator;35000;yr;2018;36250;yr;P;2019;5;n/a;N;N
Assistant;20;hr;2016;;N;H,C;2016;4;female;white;BA
Designer;65000;yr;2018;65000;yr;n/a;;3;female;latino;N
Visitor Experience;10;hr;2017;11;hr;H;2019;n/a;n/a;N;BA
Assistant;11;hr;2014;13,5;hr;H;2016;3;female;N;BA
Assistant;11;hr;2014;13,5;hr;H;2016;3;female;N;BA
Education;10;hr;N;14;hr;H;2019;n/a;female;white;N
Educator;39000;yr;2017;44000;yr;H;2019;5;n/a;N;BA
Curator;95000;yr;2016;113900;yr;P;2019;10;female;white;MA required PhD preferred
other;9;hr;2016;10,23;hr;H;2019;6;n/a;N;BA
Manager;54000;yr;2019;54000;yr;P;2019;6;female;N;BA
Relations;12;hr;2018;12;hr;H;2019;1;female;white;HS
Coordinator;15;hr;2015;17;hr;H,P;2019;4;female;N;N
Registrar;43000;yr;2017;44700;yr;P;2019;5;female;white;BA required MA preferred
Assistant Curator;27000;yr;2011;37000;yr;H,P;2015;4;female;white;BA required MA preferred
Visitor Experience;75000;yr;2007;108000;yr;n/a;2019;23;female;white;MA
Director;70000;yr;2014;94000;yr;P;2019;14;female;white;N
Communications;18;hr;2013;21;hr;H;2019;5;female;white;BA
Manager;34000;yr;2016;39000;yr;P;2019;6;female;N;BA
Director;60000;yr;2012;68000;yr;P;2014;13;female;white;N
Director;55000;yr;2018;60000;yr;P;2019;1;female;N;N
Manager;32000;yr;2015;49000;yr;P;2019;6;female;white;MA
Assistant Curator;55000;yr;2018;55000;yr;P;2019;5;n/a;N;N
Assistant Curator;50000;yr;2012;65000;yr;P;2019;15;female;mixed;MA
Assistant Curator;38000;yr;2018;38000;yr;n/a;;7;female;white;MA
Curator;28080;yr;2017;39000;yr;P Full Time;2019;6;female;white;BA required MA preferred
Assistant Manager;35000;yr;2012;44800;yr;P;2019;20;n/a;white;BA
Librarian;45000;yr;2008;55000;yr;P;2019;15;female;N;MA
Assistant Educator;15;hr;2017;17;hr;H;2019;6;female;N;N
Communications;35000;yr;2014;35000;yr;n/a;2017;10;female;white;N
Assistant Educator;41000;yr;2015;48000;yr;P;2019;4;female;white;BA required MA preferred
Assistant Curator;31500;yr;2018;39000;yr;P;2019;8;n/a;N;MA
Registrar;13,5;hr;2018;15;hr;H;2019;1;female;white;BA
Librarian;15,5;hr;2016;16,36;hr;H,P;2019;5;female;white;BA required MA preferred
Manager;60000;yr;2019;60000;yr;P;2019;5;female;N;BA required MA preferred
Assistant Registrar;38500;yr;2016;42500;yr;H,P;2019;;female;white;N
Conservator;72000;yr;N;80000;yr;P;2019;10;female;white;MA
Curator;;;N;60000;yr;P;2019;5;female;N;MA
Communications;60000;yr;2018;60000;yr;P;2019;5;female;N;N
Curator;53000;yr;2018;53000;yr;P;2019;13;female;white;N
Technical;14;hr;2016;20;hr;H;2019;7;male;white;No degree
Gallery Assistant;35000;yr;2018;;N;P;2019;;female;white;N
Registrar;30000;yr;N;44500;yr;P;;;female;white;N
Director;55000;yr;2016;60000;yr;P;2019;5;n/a;N;N
Director;;;N;55000;yr;P;2011;10;n/a;N;N
Communications;88500;yr;2018;88500;yr;P;2019;6;female;white;BA
Director;68000;yr;2016;72000;yr;P;2019;13;female;white;MA
Manager;55000;yr;2016;58500;yr;P;2019;9;n/a;white;BA
Assistant Curator;10;hr;2009;21,8;hr;n/a;2011;2;female;N;BA
Manager;45000;yr;2018;47000;yr;P;2019;5;female;N;BA
Communications;62000;yr;2015;62000;yr;P;2016;5;n/a;N;N
Education;24;hr;2018;24;hr;H,P;2019;6;n/a;N;N
Manager;32000;yr;N;38000;yr;n/a;2019;9;female;white;MA
Director;55000;yr;2016;80000;yr;P;2019;10;n/a;white;MA
Director;65000;yr;N;;N;P;2019;11;female;N;No degree
Coordinator;46800;yr;N;50000;yr;P;;7;female;asian;N
Technical;65000;yr;2015;69000;yr;P;2019;;n/a;N;N
Director;52000;yr;N;56000;yr;P;;;n/a;N;N
Communications;58000;yr;2017;59500;yr;P;2019;5;female;white;MA
Assistant Curator;54000;yr;2018;55000;yr;P;2019;5;female;mixed;MA
Coordinator;37000;yr;2019;37000;yr;n/a;2019;4;female;white;BA
Manager;43000;yr;2018;43000;yr;P;2019;6;female;white;BA required MA preferred
Manager;45000;yr;2017;59000;yr;P;2019;4;female;white;MA
Director;50000;yr;N;70000;yr;P;2019;8;female;white;No degree
Registrar;29500;yr;2008;46500;yr;P;2019;13;female;white;BA
Assistant;28995;yr;2017;36250;yr;H,P;2019;3;female;white;BA
Coordinator;28000;yr;2014;33000;yr;P;2018;4;female;white;BA
Manager;16;hr;2013;70000;yr;C;2019;7;female;white;MA
Assistant;11;hr;2017;11;hr;H;2018;0;female;white;BA
Visitor Experience;32600;yr;2014;40000;yr;P;2019;7;female;white;BA
Manager;35000;yr;2017;35800;yr;H,P;2019;15;female;N;MA
Assistant Curator;52000;yr;2018;54000;yr;P;2019;10;female;white;PhD
Assistant Curator;40000;yr;2016;41000;yr;H;2019;10;female;white;MA
Communications;20,43;hr;2017;21,04;hr;H;2019;5;female;white;BA
Education;14;hr;2017;N;yr;H;2017;0;female;white;HS
Communications;15;hr;2016;15,5;hr;H;;4;female;N;BA
Assistant Registrar;27000;yr;N;33000;yr;P;2019;;female;N;N
Assistant Curator;28500;yr;N;29300;yr;H Full Time;2019;4;female;white;BA required MA preferred
Director;;;N;76000;yr;P;2019;28;female;white;N
Manager;60000;yr;N;65000;yr;P;2019;18;female;white;MA
Technical;65000;yr;2019;65000;yr;P;2019;7;female;asian;BA
Assistant Curator;61000;yr;2018;62000;yr;H;2019;4;female;poc;BA
Assistant Curator;18550;yr;2018;21700;yr;H;2019;6;n/a;asian;BA
Conservator;150000;yr;2018;154000;yr;P;2019;33;female;white;N
Manager;50000;yr;2018;50000;yr;P;2019;7;n/a;white;BA
Technical;25000;yr;2006;45000;yr;P;2019;15;male;white;BA
Coordinator;50700;yr;2018;50700;yr;H,P;2019;3;female;poc;BA
Director;65000;yr;2018;65000;yr;P;2019;7;n/a;N;MA
Director;55000;yr;N;75000;yr;P;2019;10;n/a;N;N
Assistant;40000;yr;2018;;N;P;2019;3;n/a;N;BA
Admin;36000;yr;2017;38000;yr;n/a;2019;;n/a;N;BA
Assistant;36000;yr;2019;36000;yr;H,P;2019;3;female;N;BA
Assistant Curator;47500;yr;2016;49000;yr;P;2019;6;female;white;MA
Assistant Curator;35000;yr;2015;40000;yr;P;2019;11;female;white;MA
Manager;;;2016;27000;yr;n/a;2019;10;female;N;MA
Coordinator;30000;yr;2016;32000;yr;P;2019;5;female;white;BA required MA preferred
other;46000;yr;2014;56000;yr;P;2019;4;n/a;latino;MLIS
Manager;31000;yr;N;32600;yr;H Full Time;2019;;n/a;N;N
Manager;42000;yr;2019;42000;yr;P;;8;female;white;BA
Assistant Director;82500;yr;N;82500;yr;C;2019;10;n/a;white;BA required MA preferred
Writer;35000;yr;2017;37500;yr;P;2019;12;female;N;N
Manager;;;N;55000;yr;n/a;2019;10;n/a;N;MA
Conservator;39500;yr;2017;40250;yr;C;2019;3;female;white;MA
Technical;48000;yr;2016;50000;yr;P;2019;15;female;mixed;BA
Coordinator;24000;yr;2016;28250;yr;H;2019;6;n/a;N;BA
Visitor Experience;16;hr;2018;18,5;hr;H;2019;3;female;white;BA
Curator;36000;yr;2011;46000;yr;n/a;2019;24;female;white;N
Gallery Assistant;38000;yr;2018;38000;yr;P;2019;1;female;N;BA
Assistant Director;45000;yr;2018;47000;yr;P;2019;6;female;mixed;BA required MA preferred
Director;56000;yr;2018;60000;yr;P;2019;8;male;white;MA
Coordinator;35000;yr;2016;39000;yr;P;2019;8;female;white;MA
Communications;38500;yr;2019;38500;yr;P;2019;5;female;N;N
Communications;38500;yr;2019;38500;yr;P;2019;5;female;N;N
Communications;52000;yr;2014;56000;yr;P;;5;female;white;N
Assistant;41000;yr;2019;41000;yr;H,P;2019;2;n/a;N;BA
Art Handler;31000;yr;2009;38000;yr;H;2019;17;female;white;BA
Curator;90000;yr;2017;90000;yr;n/a;2019;12;female;white;MA
Coordinator;43000;yr;N;43000;yr;P;2019;;male;white;N
Manager;;;N;41000;yr;P;2019;6;female;poc;BA required MA preferred
Technical;15;hr;2016;22;hr;H Part Time;2018;3;female;N;BA
Manager;38000;yr;N;38000;yr;P;n/a;;female;white;N
Curator;43000;yr;2017;51000;yr;P;2019;12;female;N;MA
Assistant Registrar;27300;yr;N;34983;yr;H,P;2019;;female;white;N
Technical;50000;yr;N;55000;yr;C;2019;20;female;white;MLIS
Director;70000;yr;2019;70000;yr;P;2019;6;female;white;MA
Conservator;31220;yr;2015;37370;yr;P;2019;8;n/a;N;N
Coordinator;12;hr;2016;15;hr;H;2019;4;female;white;BA
Manager;42000;yr;2018;42000;yr;P;2019;8;female;white;BA required MA preferred
Assistant Curator;36730;yr;N;37440;yr;H;2019;11;female;white;N
Director;55000;yr;2014;68000;yr;P;2019;20;female;mixed;MA
Assistant;34500;yr;2016;45000;yr;P;2019;3;female;white;BA
Assistant Curator;46000;yr;N;46500;yr;H;2019;;female;N;N
Assistant Curator;17500;yr;2018;32000;yr;H;2019;n/a;female;N;MA
Assistant Curator;55000;yr;N;65000;yr;n/a;2019;;female;white;N
Writer;48000;yr;2019;48000;yr;P;2019;10;male;white;BA
Assistant Director;8400;yr;2014;40000;yr;P;2017;4;female;white;BA
Manager;46000;yr;2016;48000;yr;H Full Time;2019;7;female;white;BA required MA preferred
Communications;12,5;hr;N;30030;yr;H Full Time;2019;3;female;white;BA
Archivist;65000;yr;N;65000;yr;C;2019;;female;white;MLIS
Archivist;55000;yr;2014;65000;yr;C;2018;;female;white;MLIS
Archivist;53000;yr;N;63000;yr;P;2019;12;female;N;MA
Assistant Curator;50000;yr;N;50000;yr;C;2019;5;female;white;MA
Assistant Curator;50000;yr;N;50000;yr;C;2019;5;female;white;MA
Assistant Curator;60000;yr;2018;;N;P;;;female;N;PhD
Visitor Experience;8,75;hr;2014;11;hr;H;2018;4;n/a;white;BA
Assistant Curator;47500;yr;2017;50000;yr;P;2019;;female;white;N
Assistant Curator;;;N;45000;yr;H;2019;18;n/a;white;N
Assistant Curator;30000;yr;2018;30000;yr;P;2019;5;female;latino;MA
Assistant Curator;32000;yr;N;34999;yr;H Full Time;2019;3;n/a;N;N
Director;32000;yr;2011;50000;yr;P;2019;12;n/a;N;MA
Coordinator;32000;yr;2017;35000;yr;P;2019;5;female;white;N
Curator;57000;yr;2011;84000;yr;H,P;;;n/a;N;N
Manager;16;hr;2018;16,48;hr;H Full Time;2019;6;female;white;BA
Manager;32000;yr;N;33000;yr;P;2019;;male;white;BA
Director;50000;yr;N;51500;yr;P;2019;17;female;white;MA
Assistant Curator;28000;yr;2017;30000;yr;H,C;2019;4;female;white;MA
Academic;50000;yr;2019;50000;yr;C;2021;;female;N;N
Curator;30000;yr;2017;30000;yr;C;2020;;female;N;N
Curator;75000;yr;N;92000;yr;P;2019;;female;N;N
Curator;72000;yr;N;72000;yr;n/a;2019;;female;N;N
Coordinator;30000;yr;N;35000;yr;P;2015;;female;N;N
Curator;31000;yr;N;34000;yr;P;2019;;female;white;N
Communications;55000;yr;N;73000;yr;P;2019;;n/a;N;N
Assistant Registrar;53500;yr;N;;N;P;2019;3;female;white;BA required MA preferred
Curator;62000;yr;N;62000;yr;P;2019;;female;white;N
Assistant Curator;29000;yr;2017;29700;yr;C;2019;7;n/a;white;MA
Manager;35000;yr;N;37000;yr;P;2019;5;female;white;BA
Manager;40000;yr;N;42000;yr;P;2019;15;female;white;N
Manager;47000;yr;2017;62000;yr;P;2019;5;n/a;N;N
Assistant Registrar;41000;yr;2015;44000;yr;P;2019;9;female;N;N
Technical;46000;yr;N;46000;yr;P;;;female;N;N
Assistant Curator;53000;yr;2017;54600;yr;P;2019;11;female;N;PhD
Visitor Experience;33000;yr;2017;36000;yr;H Full Time;2019;3;female;white;BA required MA preferred
Manager;60000;yr;2017;65000;yr;P;2019;4;female;N;MLIS
Curator;38000;yr;N;45000;yr;P Full Time;2019;;female;N;N
Director;60000;yr;2015;72000;yr;P;2019;7;female;white;MA
Director;42000;yr;N;45000;yr;P;2019;10;n/a;N;MA
Manager;43500;yr;N;63800;yr;P Full Time;2019;;male;white;N
Assistant Curator;38000;yr;2018;38000;yr;P;2019;1;female;white;BA required MA preferred
Librarian;31500;yr;2013;34000;yr;H,P;2019;15;female;N;BA required MA preferred
Director;70000;yr;2017;79000;yr;P;2019;13;female;white;MA
Assistant;29,12;hr;2014;35,36;hr;H,P;2019;11;female;white;MA
Registrar;48000;yr;2019;48000;yr;P;2019;8;female;N;MA
Manager;45000;yr;2017;47000;yr;P;2019;4;female;white;BA
Designer;50000;yr;N;51000;yr;n/a;2019;;female;N;N
Manager;49000;yr;N;49000;yr;P;2019;;male;white;N
Editorial;42000;yr;N;40000;yr;P;2019;;female;white;N
other;40000;yr;N;40000;yr;P;2019;;n/a;N;N
Curator;33000;yr;N;33000;yr;H,P;2018;;female;white;N
Assistant Curator;31500;yr;N;31500;yr;C;2019;;male;white;N
Assistant;30000;yr;N;30000;yr;H;2018;;male;white;N
Assistant Registrar;35000;yr;2016;37300;yr;P;2019;4;female;N;MA
Education;18,75;hr;2013;50000;yr;P;2019;8;female;asian;N
Designer;40000;yr;2017;47500;yr;P;2019;7;female;N;BA
Director;28000;yr;2000;69000;yr;P;2019;19;n/a;N;MLIS
Director;27500;yr;2002;65000;yr;P;2019;15;female;N;N
Visitor Experience;24960;yr;2018;26000;yr;H;2019;6;other;N;BA
Assistant;40000;yr;2017;41000;yr;P;2019;2;female;white;BA
Assistant Curator;30000;yr;2017;35000;yr;H,P;2019;1;female;white;BA
Director;31000;yr;2014;58500;yr;P;2019;7;female;white;BA
Assistant Educator;32000;yr;2014;46350;yr;P;2019;11;female;mixed;BA
Assistant Educator;32000;yr;2014;46350;yr;P;2019;11;female;mixed;BA
Communications;19,8;hr;2017;20.5 an hour;yr;H;2019;4;female;white;BA
Curator;35000;yr;2009;48000;yr;P;2019;15;female;N;BA required MA preferred
